S.No,Store Name,Address,Pincode,City,State,Phone,Store Page URL
98,"Pizza Hut - Paschim Vihar, Delhi","Plot No 1, UGF, Shubham Enclave, Block A, Paschim Vihar, New Delhi, Delhi, India",110063,New Delhi,Delhi,098733 10117,https://restaurants.pizzahut.co.in/pizza-hut-ph-paschim-vihar-delhi-pizzerias-paschim-vihar-new-delhi-264499/Home
99,"Pizza Hut - Puri City Center Ranibagh, Delhi","No 08, Ground Floor, PP City Centre, Pitampura, Rani Bagh, New Delhi, Delhi, India",110034,New Delhi,Delhi,072900 67641,https://restaurants.pizzahut.co.in/pizza-hut-rani-bagh-pizza-restaurant-rani-bagh-new-delhi-81403/Home
100,"Pizza Hut - RK Asram, Delhi","Ground Floor, Food Court, Food Forum, RK Ashram Metro Station, Line 3, Paharganj, New Delhi, Delhi, India",110055,New Delhi,Delhi,098990 80281,https://restaurants.pizzahut.co.in/pizza-hut-ph-food-forum-rk-asram-marg-pizzerias-paharganj-new-delhi-271945/Home
101,"Pizza Hut - Ramphal Chowk Dwarka, Delhi","No E561B, Palam Extension, Ramphal Chowk, Dwarka, Sector 7, New Delhi, Delhi, India",110077,New Delhi,Delhi,089290 39481,https://restaurants.pizzahut.co.in/pizza-hut-ph-ramphal-chowk-dwarka-pizza-restaurant-dwarka-sector-7-new-delhi-130399/Home
102,"Pizza Hut - Rohini Sector 11, Delhi","Unit No 1 & 1B, Garg Trade Centre, Plot No 6, Rohini, Sector 11, New Delhi, Delhi, India",110085,New Delhi,Delhi,011 4553 6484,https://restaurants.pizzahut.co.in/pizza-hut-ph-sector-11-rohini-pizza-restaurant-rohini-sector-11-new-delhi-175406/Home
103,"Pizza Hut - Saket, Delhi","No 29, Community Centre, Saket, New Delhi, Delhi, India",110017,New Delhi,Delhi,098118 73898,https://restaurants.pizzahut.co.in/pizza-hut-saket-pizza-restaurant-saket-new-delhi-22558/Home
104,"Pizza Hut - Satya Niketan, Delhi","Shop No 123 & 124, Satya Niketan, Opposite Sri Venkateswara College, New Delhi, Delhi, India",110021,New Delhi,Delhi,085888 12624,https://restaurants.pizzahut.co.in/pizza-hut-ph-satya-niketan-delhi-pizzerias-satya-niketan-new-delhi-180265/Home
105,"Pizza Hut - Sector 12, Dwarka","No G22 & 51, PN 5, Hashtag Food Court, Pocket 8, Block B, Dwarka, Sector 12, Near Metro Station, New Delhi, Delhi, India",110077,New Delhi,Delhi,070650 11977,https://restaurants.pizzahut.co.in/pizza-hut-ph-city-centre-mall-sec-12-dwarka-pizza-restaurant-dwarka-sector-12-new-delhi-121520/Home
106,"Pizza Hut - Subhash Nagar, New Delhi","2nd Floor, Pacific Mall, Food Court, Subhash Nagar, Near Subhash Nagar Metro Station, New Delhi, Delhi, India",110027,New Delhi,Delhi,011 4513 6991,https://restaurants.pizzahut.co.in/pizza-hut-subhash-nagar-pizza-takeaway-subhash-nagar-new-delhi-1435/Home
107,"Pizza Hut - Tank Road Karol Bagh, Delhi","No 17A & 54, Ajmal Khan Road, Block 10, WEA Tank Road, Karol Bagh, New Delhi, Delhi, India",110005,New Delhi,Delhi,098992 72578,https://restaurants.pizzahut.co.in/pizza-hut-ph-wea-tank-road-karol-bagh-pizza-restaurant-karol-bagh-new-delhi-130397/Home
108,Pizza Hut - Tuglakabad Metro Station,,110044,New Delhi,Delhi,,https://restaurants.pizzahut.co.in/pizza-hut-badarpur-new-delhi-in-delhi-new-dellhi-badarpur-13874/Home
109,"Pizza Hut - Uttam Nagar, Delhi","No 35, Bal Udhyan Road, Prem Nagar, Block E, F Block, Uttam Nagar, New Delhi, Delhi, India",110059,New Delhi,Delhi,089290 41246,https://restaurants.pizzahut.co.in/pizza-hut-ph-uttam-nagar-new-delhi-pizzerias-uttam-nagar-new-delhi-294178/Home
110,"Pizza Hut - Vasant Square Mall, Delhi","Shop No 15, I, Vasant Square Mall, Vasant Kunj, New Delhi, Delhi, India",110070,New Delhi,Delhi,074285 00439,https://restaurants.pizzahut.co.in/pizza-hut-vasant-kunj-pizza-delivery-vasant-kunj-new-delhi-24823/Home
111,"Pizza Hut - Vegas Mall, Delhi","Plot No 06, T 301, Vegas Mall, Pocket 1, Dwarka, Sector 14, New Delhi, Delhi, India",110078,New Delhi,Delhi,070650 11699,https://restaurants.pizzahut.co.in/pizza-hut-dwarka-sector-14-pizza-restaurant-dwarka-sector-14-new-delhi-81400/Home
