S.No,Store Name,Address,Pincode,Google Pincode,Pincode Match,City,State,Phone,Store Page URL,Place ID,Lat,Long,Google Name,Google Address,Google Lat,Google Long,Business Status,Lookup
569,"Pizza Hut - Jayadev Vihar, Bhubaneswar","P1 & P1/A, XIMB Square, Nandankanan Rd, Gajapati Nagar, Bhubaneswar, Odisha, India",751013,751013,Yes,Bhubaneswar,Odisha,083769 05196,https://restaurants.pizzahut.co.in/pizza-hut-ph-ximb-square-jaydev-vihar-pizza-restaurant-gajapati-nagar-bhubaneswar-125365/Home,ChIJ4XmyMiMJGToRf8xcVLzjGlk,20.30752,85.820764,"Pizza Hut | Jayadev Vihar, Bhubaneswar","XIMB Square, P1 & P1/A, Nandankanan Rd, Gajapati Nagar, Bhubaneswar, Odisha 751013, India",20.30752,85.820764,OPERATIONAL,place_id
570,"Pizza Hut - Patia, Bhubaneshwar","PN 62 & 63, Chandaka Industrial Estate, KIIT Road, Patia, Bhubaneswar, Odisha, India",751024,751024,Yes,Bhubaneswar,Odisha,089290 37702,https://restaurants.pizzahut.co.in/pizza-hut-ph-patia-bhubaneswar-pizza-restaurant-patia-bhubaneswar-129609/Home,ChIJpxxzctMJGToRaSLEHnEnYo4,20.354122,85.817396,"Pizza Hut | Patia, Bhubaneshwar","PN 62 & 63, KIIT Rd, Chandaka Industrial Estate, Patia, Bhubaneswar, Odisha 751024, India",20.354122,85.817396,OPERATIONAL,place_id
571,"Pizza Hut - Puri Cuttack Road, Bhubaneswar","Shop No 103/104, Jharpada, Cuttack puri road, Bhubaneswar, Odisha, India",751006,751006,Yes,Bhubaneswar,Odisha,089290 34363,https://restaurants.pizzahut.co.in/pizza-hut-ph-cuttack-puri-road-bhubaneswar-pizza-restaurant-cuttack-puri-road-bhubaneswar-305347/Home,ChIJl34bXcehGToRPnHBPo6AC6Y,20.2744565,85.8520007,"Pizza Hut | Puri Cuttack Road, Bhubaneswar","Shop No 103, 104, Puri Rd, Jharapada, Cuttack, Bhubaneswar, Odisha 751006, India",20.2744565,85.85200069999999,OPERATIONAL,place_id
572,"Pizza Hut - Utkal Kanika Galleria, Bhubneshwar","No FC 307 & 308, Utkal Kanika Galleria, Kalpana Square, Opposite Odisha State Museum, Bhubaneswar, Odisha, India",751007,751009,No,Bhubaneswar,Odisha,085279 88848,https://restaurants.pizzahut.co.in/pizza-hut-kalpana-square-pizza-restaurant-kalpana-square-bhubaneswar-81393/Home,ChIJTWdLv_CnGToRvk7g3d1Hfyc,20.256291,85.839374,"Pizza Hut | Utkal Kanika Galleria, Bhubneshwar","No FC 307 & 308, Utkal Kanika Galleria, opposite Odisha State Museum, Kalpana Square, Gautam Nagar, Bhubaneswar, Odisha 751009, India",20.256291,85.83937399999999,OPERATIONAL,place_id
573,Pizza Hut - Janata City Center Mall,"Shop No GR5, Janata City Center Mall, Telephone Bhawan Road, Gandhi Nagar, Brahmapur, Odisha, India",760001,760001,Yes,Brahmapur,Odisha,1800 202 2022,https://restaurants.pizzahut.co.in/pizza-hut-janata-city-center-mall-in-odisha-brahmapur-gandhi-nagar-29150/Home,ChIJP4P3YABRPToR0DmvZLWYuGI,19.3104492,84.7914466,Pizza Hut | Janata City Center Mall,"Shop No GR5, Janata City Center Mall, Telephone Bhawan Rd, Gandhi Nagar, Brahmapur, Odisha 760001, India",19.3104492,84.7914466,OPERATIONAL,place_id
574,"Pizza Hut - Baxi Bazar, Cuttack","Plot No 350/934, 935 to 937, Unit 10, Cuttack Town, Cantonment, Cuttack, Odisha, India",753001,753001,Yes,Cuttack,Odisha,085109 00127,https://restaurants.pizzahut.co.in/pizza-hut-ph-baxi-bazar-cuttack-pizzerias-cantonment-cuttack-200462/Home,ChIJoWYo0aYTGToRZ2DTW1CqPZk,20.4764985,85.8694505,"Pizza Hut | Baxi Bazar, Cuttack","Plot No 350/934, 935 to 937, Unit 10, Cantonment, Kataka, Odisha 753001, India",20.4764985,85.8694505,OPERATIONAL,place_id
575,"Pizza Hut - Utkal Centre Point, Jajpur","Shop 3, Utkal Centre Point, Jajpur Road, Byasanagar, Near Chorda Bypass Crossing, Jajpur, Odisha, India",755019,755019,Yes,Jajpur,Odisha,076050 28779,https://restaurants.pizzahut.co.in/pizza-hut-ph-utkal-centre-point-jajpur-pizza-restaurant-byasanagar-jajpur-108229/Home,ChIJETbXINxRGToR7WExdL_WI_0,20.9518137,86.130356,"Pizza Hut | Utkal Centre Point, Jajpur","Near Chorda Bypass Crossing, Shop 3, Utkal Centre Point, Byasanagar, Odisha 755019, India",20.9518137,86.13035599999999,OPERATIONAL,place_id
576,"Pizza Hut - Marwari Para, Jharsuguda",,768201,768201,Yes,Jharsuguda,Odisha,,https://restaurants.pizzahut.co.in/pizza-hut-marwari-para-jharsuguda-in-odisha-jharsuguda-marwari-para-65714/Home,ChIJNUscgr7nIDoR0uuM3-sej_0,21.850541,84.013386,"Pizza Hut | Marwari Para, Jharsuguda","Sarbahal Rd, near Manmohan School, Marwari Para, Jharsuguda, Odisha 768201, India",21.850541,84.013386,OPERATIONAL,place_id
577,"Pizza Hut - Khurda, Khordha",,752050,752050,Yes,Khordha,Odisha,,https://restaurants.pizzahut.co.in/pizza-hut-khurda-khordha-in-odisha-khordha-khurda-18912/Home,ChIJU8WFgeGvGToR7pcun6Hyiwo,20.154058,85.708038,"Pizza Hut | Khurda, Khordha","Rail Coach Restaurant, East Coast Railway Complex, Junction, Jatni, Khordha, Odisha 752050, India",20.154058,85.708038,OPERATIONAL,place_id
578,"Pizza Hut - Budharaja Road, Sambalpur","Ainthapali Chowk, Kainsir, Sambalpur, Odisha, India",768004,768004,Yes,Sambalpur,Odisha,070422 54897,https://restaurants.pizzahut.co.in/pizza-hut-ph-ainthapali-sambalpur-pizza-restaurant-kainsir-sambalpur-166838/Home,ChIJTSwmD30XIToR73TTD4_eIjg,21.4940449,83.9864984,"Pizza Hut | Budharaja Road, Sambalpur","Ainthapali chowk, Ainthapali, Kainsir, Sambalpur, Odisha 768004, India",21.4940449,83.9864984,OPERATIONAL,place_id
